kraken_pluspfp_100_report_bracken_species	kraken_pluspfp_105_report_bracken_species	kraken_pluspfp_110_report_bracken_species	kraken_pluspfp_111_report_bracken_species	kraken_pluspfp_112_report_bracken_species	kraken_pluspfp_117_report_bracken_species	kraken_pluspfp_121_report_bracken_species	kraken_pluspfp_122_report_bracken_species	kraken_pluspfp_123_report_bracken_species	kraken_pluspfp_129_report_bracken_species	kraken_pluspfp_133_report_bracken_species	kraken_pluspfp_134_report_bracken_species	kraken_pluspfp_135_report_bracken_species	kraken_pluspfp_140_report_bracken_species	kraken_pluspfp_141_report_bracken_species	kraken_pluspfp_145_report_bracken_species	kraken_pluspfp_146_report_bracken_species	kraken_pluspfp_147_report_bracken_species	kraken_pluspfp_152_report_bracken_species	kraken_pluspfp_153_report_bracken_species	kraken_pluspfp_157_report_bracken_species	kraken_pluspfp_158_report_bracken_species	kraken_pluspfp_159_report_bracken_species	kraken_pluspfp_164_report_bracken_species	kraken_pluspfp_165_report_bracken_species	kraken_pluspfp_169_report_bracken_species	kraken_pluspfp_170_report_bracken_species	kraken_pluspfp_171_report_bracken_species	kraken_pluspfp_176_report_bracken_species	kraken_pluspfp_177_report_bracken_species	kraken_pluspfp_181_report_bracken_species	kraken_pluspfp_182_report_bracken_species	kraken_pluspfp_183_report_bracken_species	kraken_pluspfp_188_report_bracken_species	kraken_pluspfp_98_report_bracken_species	kraken_pluspfp_99_report_bracken_species	taxonomy
1047171	252	370	373	384	264	413	415	359	287	340	246	462	394	330	349	255	535	321	330	461	244	489	259	460	597	372	398	262	433	209	288	317	315	356	283	323	k__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Zymoseptoria; s__tritici
33169	125	157	121	128	96	118	132	130	130	115	84	126	120	140	107	124	139	147	102	126	120	152	110	129	106	153	182	135	116	122	129	127	116	95	86	114	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Eremothecium; s__gossypii
45285	22	41	34	51	37	39	39	36	38	29	28	42	51	36	38	36	32	26	42	49	44	45	46	46	57	33	48	24	49	19	72	26	35	21	30	30	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Eremothecium; s__cymbalariae
45286	14	20	12	26	21	22	22	18	17	19	13	24	21	24	16	17	22	16	24	20	0	32	16	30	23	30	20	12	28	24	16	12	19	31	14	33	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Eremothecium; s__sinecaudum
114524	39	33	30	35	35	16	37	35	35	34	35	36	36	32	43	26	34	33	33	21	35	44	35	20	37	31	22	30	45	31	51	29	25	20	21	28	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__kudriavzevii
1080349	31	30	29	34	41	52	39	46	28	30	35	38	41	34	33	32	31	30	56	36	25	45	40	41	66	33	33	18	42	39	42	27	28	43	44	26	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__eubayanus
27291	31	29	24	28	35	41	27	37	17	17	20	26	18	37	17	29	40	25	31	45	18	18	38	41	31	19	34	16	25	18	47	22	19	18	20	15	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__paradoxus
4932	18	24	19	34	22	36	27	18	41	28	29	45	41	22	35	18	33	14	33	50	32	22	34	26	51	29	43	25	35	21	56	18	32	18	28	34	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__cerevisiae
114525	16	26	39	44	30	37	24	25	16	33	22	24	30	25	28	21	31	24	19	27	26	30	38	25	40	25	25	35	34	24	24	0	10	17	23	18	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__mikatae
1071379	47	65	38	40	61	57	76	46	39	45	26	86	60	59	53	46	55	38	57	64	43	91	43	104	67	56	44	39	42	43	75	38	46	40	27	49	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Tetrapisispora; s__blattae
113608	29	60	23	39	33	68	57	40	33	46	29	65	66	27	58	30	31	45	43	44	39	60	32	57	37	36	45	22	29	23	46	37	30	48	33	40	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Tetrapisispora; s__phaffii
588726	57	42	68	46	49	46	58	46	43	48	48	63	46	66	50	58	57	35	54	53	62	70	52	61	46	36	48	54	77	41	44	49	64	41	51	56	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania; s__naganishii
432096	19	36	20	47	17	30	24	26	27	22	14	18	25	15	30	16	32	0	31	28	16	31	27	72	48	17	23	17	21	16	37	17	14	25	29	22	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania; s__africana
5478	71	54	48	80	57	68	122	72	62	47	33	58	66	71	59	62	56	60	91	75	45	49	55	74	63	39	56	69	72	45	43	69	66	58	59	72	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__glabratus
27289	36	32	34	53	33	55	70	42	26	57	30	40	73	44	29	46	44	32	57	44	42	52	41	68	58	29	39	27	50	48	42	42	30	45	39	29	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Naumovozyma; s__dairenensis
27288	27	40	19	30	31	54	22	42	18	45	17	45	30	32	29	19	32	28	22	42	23	33	27	44	30	26	36	21	53	24	45	32	16	34	33	29	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Naumovozyma; s__castellii
